er hjemme;is at home
går hjem;goes home
er inne;is inside
går inn;goes in
er ute;is outside
går ut;goes out
er oppe;is up
går opp;goes up
er nede;is down below
går ned;goes down
er her;is here
går hit;goes here
er der;is there
går dit;goes there
går;walks, goes
drar;goes, leaves
løper;runs
legger;lays, puts, places
flyr;flies
svømmer;swims
hopper;jumps
hjem;home
til;to (physical direction)
hit;(to) here, hither
dit;(to) there, thither
mot;toward, against
etter;after
frem;forward
forbi;past
tilbake;back
inn;in
opp;up
ned;down
gjennom;through
ut;out
rett;straight, directly
rundt;around
et basseng;a (swimming) pool
en/ei dør;a door
et vindu;a window
